item,owned
BaNaNa Parafoil,True
Blue Flower Glider,True
Gold Glider,True
Fare Flier,False
Purple Oilpaper Umbrella,False
Full Flight,True
Strawberry Crepe,True
Le Tricolore,False
Starchute,False
Royal Parachute,True
Glitter Glider,False
Soaring Jack,False
Gift Glider,False
New Year's 2020,False
New Year's Kite,False
Fireworks Parachute,True
Crimson Crane,False
Blizzard Parasol,False
Blizzard Balloons,True
Sweetheart Glider,False
Heart Balloons,True
Luma Parafoil,False
Rainbow Starchute,True
Bright Glider,False
Safety Glider,False
Daisy Glider,True
Pink Gold Paper Glider,True
Butterfly Sunset,False
Chocolate Donut,True
Gold Crane,False
Chocolate Banana Crepe,False
Strawberry Donut,False
Silver Bells,True
Silver-and-Gold Hearts,True
Manta Glider,False
Treasure Map,False
Butterfly Wings,False
Great Sail,False
Festival Wings,False
8-Bit Star,True
Super Mario Kart Glider,False
Star-Spangled Glider,False
Spider Glider,False
Sunset Balloons,True
Jolly Bells,False
Silver Starchute,True
Butterfly Prism,False
Planet Glider,True
New Year's 2021,False
Gold New Year's Kite,False
Toe-Bean Balloons,False
Calico Parafoil,False
Black Great Sail,False
Silver Manta Glider,False
Rose Parasol,False
Snow Crystals,False
8-Bit Fire Flower,False
Surf Master,False
Starry Great Sail,False
Black Toe-Bean Balloons,True
8-Bit Bullet Bill,False
Glinting Glider,False
Flying Easel,False
Sunny Surf Master,False
Polka-Dot Manta Glider,False
Home-Field Glider,False
Gold Home-Field Glider,False
Springtime Crane,False
Yukata Ribbon,False
Silver Surf Master,True
Ship's Wheel,False
Tanooki Parafoil,False
Gold Tanooki Parafoil,False
Magic Parasol,False
8-Bit Super Mushroom,False
Meteor Balloons,False
Pink Gold Meteors,False
Galaxy Glider,False
Candlelight Flight,False
Gold Penguin Wingtip,False
Aurora Balloons,False
New Year's 2022,False
Black Cat Parafoil,False
Cat Parafoil,False
Gold Toe-Bean Balloons,False
Glittering Parasol,False
Luigi Parafoil,False
Sky-High Flyer,False
Record Setter,False
Mario's Mustache,False
Luigi's Mustache,True
Origami Glider,False
